序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
71,高雄,2019/02/26,01:02:00,"1,017.2",20.7,77,北北東,2.5,0,-
72,高雄,2019/02/26,00:02:00,"1,016.5",21.2,79,北北東,2.7,0,-
73,高雄,2019/02/25,23:02:00,"1,017.1",21,79,北,3.3,0,-
74,高雄,2019/02/25,22:02:00,"1,016.6",21,79,北,2.2,0,-
75,高雄,2019/02/25,21:02:00,"1,016.5",21.3,78,北,3.4,0,-
76,高雄,2019/02/25,20:02:00,"1,016.1",22,76,北,3.2,0,-
77,高雄,2019/02/25,19:02:00,"1,015.7",22.6,77,北北西,3.6,0,0
78,高雄,2019/02/25,18:02:00,"1,014.8",23.4,74,北北西,2.7,0,0.2
79,高雄,2019/02/25,17:02:00,"1,014.7",24.2,71,西北,3.5,0,1
80,高雄,2019/02/25,16:02:00,"1,014",24.7,68,西北,3.7,0,1
81,高雄,2019/02/25,15:02:00,"1,014",25.9,63,西北,3.7,0,1
82,高雄,2019/02/25,14:02:00,"1,014.7",25.7,62,西北,3.8,0,1
83,高雄,2019/02/25,13:02:00,"1,015.8",25.5,61,西北,4,0,1
84,高雄,2019/02/25,12:02:00,"1,016.5",25.4,61,北,3.3,0,1
85,高雄,2019/02/25,11:02:00,"1,016.9",24,65,北,4.8,0,1
86,高雄,2019/02/25,10:02:00,"1,017.1",22.7,72,北,5.1,0,1
87,高雄,2019/02/25,09:02:00,"1,016.6",21.4,81,北,3.1,0,1
88,高雄,2019/02/25,08:02:00,"1,016.3",19.4,87,北北西,1.6,0,0.2
89,高雄,2019/02/25,07:02:00,"1,016",18.9,89,北,2.5,0,0
90,高雄,2019/02/25,06:02:00,"1,015.5",18.9,89,北北東,1.5,1,0
91,高雄,2019/02/25,05:02:00,"1,014.9",18.8,89,北,2.8,1,-
92,高雄,2019/02/25,04:02:00,"1,014.4",18.7,89,北,4.9,2,-
93,高雄,2019/02/25,03:02:00,"1,014.7",19,87,北,3.9,1,-
94,高雄,2019/02/25,02:02:00,"1,014.6",19.4,85,北北西,3.1,0,-
95,高雄,2019/02/25,01:02:00,"1,014.4",20.7,81,北北西,2.9,0,-
96,高雄,2019/02/25,00:02:00,"1,017.3",20.7,79,北,3.2,0,-
97,高雄,2019/02/24,23:02:00,"1,014.9",21.8,73,北北東,2.1,0,-
98,高雄,2019/02/24,22:02:00,"1,014.6",22.1,70,北,2.3,0,-
99,高雄,2019/02/24,21:02:00,"1,014.5",21.9,71,北,2.2,0,-
100,高雄,2019/02/24,20:02:00,"1,014.2",21.7,70,北北東,3.5,0,-
101,高雄,2019/02/24,19:02:00,"1,013.8",21.5,70,北北東,3.1,0,0
102,高雄,2019/02/24,18:02:00,"1,013.5",21.6,70,北,3.9,0,0
103,高雄,2019/02/24,17:02:00,"1,013.4",22.6,71,北,4.3,0,0
104,高雄,2019/02/24,16:02:00,"1,013.1",24.4,65,北,4.1,0,0.5
105,高雄,2019/02/24,15:02:00,"1,012.6",25.3,65,北北西,3.2,0,0.3
106,高雄,2019/02/24,14:02:00,"1,012.9",26,59,北北西,2,0,0.2
107,高雄,2019/02/24,13:02:00,"1,013.8",25.3,60,北,3.2,0,1
108,高雄,2019/02/24,12:02:00,"1,014.7",23.5,64,北,2.8,0,0.1
109,高雄,2019/02/24,11:02:00,"1,015.6",23.6,63,北北西,1.6,0,0
110,高雄,2019/02/24,10:02:00,"1,016",23.8,62,北,1.6,0,0
111,高雄,2019/02/24,09:02:00,"1,016.1",22.8,66,北,1.6,0,0
112,高雄,2019/02/24,08:02:00,"1,015.6",21.6,72,西北西,1.6,0,0.5
113,高雄,2019/02/24,07:02:00,"1,015.1",20.6,69,北北西,0.3,0,0
114,高雄,2019/02/24,06:02:00,"1,014.8",20.2,69,東北東,1,0,0
115,高雄,2019/02/24,05:02:00,"1,014.1",20.2,69,北北東,2.4,0,-
116,高雄,2019/02/24,04:02:00,"1,014.2",21.1,67,北北西,0.3,0,-
117,高雄,2019/02/24,03:02:00,"1,014.4",20.8,66,北北東,1.4,0,-
118,高雄,2019/02/24,02:02:00,"1,014.2",20.8,65,北北東,2.4,0,-
119,高雄,2019/02/24,01:02:00,"1,014.9",21.1,65,北,2.6,0,-
120,高雄,2019/02/24,00:02:00,"1,014.7",21.7,76,北,1.9,0,-
121,高雄,2019/02/23,23:02:00,"1,015.3",21.9,63,北,1.8,0,-
122,高雄,2019/02/23,22:02:00,"1,015.6",22,62,北,1.3,0,-
123,高雄,2019/02/23,21:02:00,"1,015.6",22.5,62,北北東,2.5,0,-
124,高雄,2019/02/23,20:02:00,"1,015.1",23.2,62,北,2.4,0,-
125,高雄,2019/02/23,19:02:00,"1,014.4",23.5,61,北,2.2,0,0
126,高雄,2019/02/23,18:02:00,"1,013.9",23.6,64,西北,2.7,0,0
127,高雄,2019/02/23,17:02:00,"1,013.7",23.8,65,西北,2.8,0,0
128,高雄,2019/02/23,16:02:00,"1,012.9",23.8,65,西北西,3.1,0,0
129,高雄,2019/02/23,15:02:00,"1,012.9",24.4,63,西,2.7,0,0.3
130,高雄,2019/02/23,14:02:00,"1,013.5",24.7,62,西北,4.1,0,0.3
131,高雄,2019/02/23,13:02:00,"1,014.5",25,64,北北西,3.8,0,1
132,高雄,2019/02/23,12:02:00,"1,015.2",24.6,66,北北西,2.8,0,1
133,高雄,2019/02/23,11:02:00,"1,016.1",24.2,69,西北,3.8,0,1
134,高雄,2019/02/23,10:02:00,"1,016.6",24.1,68,西,2.3,0,1
135,高雄,2019/02/23,09:02:00,"1,016.6",23,72,靜風,0.1,0,1
136,高雄,2019/02/23,08:02:00,"1,016.5",20.3,75,東北東,2.1,0,0.5
137,高雄,2019/02/23,07:02:00,"1,016.5",19.6,74,北北東,1.7,0,0
138,高雄,2019/02/23,06:02:00,"1,016.7",19,75,北北東,2.9,0,0
139,高雄,2019/02/23,05:02:00,"1,016.2",19,76,北北東,3.1,0,-
140,高雄,2019/02/23,04:02:00,"1,016.1",19.3,78,北,3.5,0,-
141,高雄,2019/02/23,03:02:00,"1,016.1",19.6,78,北,3,0,-
142,高雄,2019/02/23,02:02:00,"1,016.2",20.1,77,北北東,1.9,0,-
143,高雄,2019/02/23,01:02:00,"1,016.3",20.4,76,北北東,1.9,0,-
144,高雄,2019/02/23,00:02:00,"1,015.1",21.7,64,北,1.1,0,-
145,高雄,2019/02/22,23:02:00,"1,016.9",20.8,76,北,2.5,0,-
146,高雄,2019/02/22,22:02:00,"1,016.8",21.2,76,北,3.4,0,-
147,高雄,2019/02/22,21:02:00,"1,016.4",21.9,74,北,3.5,0,-
148,高雄,2019/02/22,20:02:00,"1,016.1",21.9,74,北,4,0,-
149,高雄,2019/02/22,19:02:00,"1,015.4",22.2,72,北,5.6,0,0
150,高雄,2019/02/22,18:02:00,"1,015.1",23.1,70,北,5,0,0
151,高雄,2019/02/22,17:02:00,"1,014.5",23.7,70,北北西,4.7,0,0.6
152,高雄,2019/02/22,16:02:00,"1,014.1",24.9,70,西北,5.5,0,1
153,高雄,2019/02/22,15:02:00,"1,013.9",25.4,68,西北,6.9,0,1
154,高雄,2019/02/22,14:02:00,"1,013.9",26.1,69,西北,6.6,0,1
155,高雄,2019/02/22,13:02:00,"1,014.3",27,69,西北,5.2,0,1
156,高雄,2019/02/22,12:02:00,"1,014.9",28.1,60,西北西,3.2,0,1
157,高雄,2019/02/22,11:02:00,"1,016",27.7,61,北,3.3,0,1
158,高雄,2019/02/22,10:02:00,"1,016.8",26.7,67,西北,4.1,0,1
159,高雄,2019/02/22,09:02:00,"1,016.7",26.6,67,北,1.9,0,1
160,高雄,2019/02/22,08:02:00,"1,016.3",23.4,75,北北東,1.5,0,1
161,高雄,2019/02/22,07:02:00,"1,016.1",21.7,82,北北東,1.9,0,0
162,高雄,2019/02/22,06:02:00,"1,016.2",21.6,82,北,2.6,0,0
163,高雄,2019/02/22,05:02:00,"1,015.6",21.5,81,北,3.7,0,-
164,高雄,2019/02/22,04:02:00,"1,015.3",23.4,77,北北東,2.2,0,-
165,高雄,2019/02/22,03:02:00,"1,015.2",23.6,75,東北,2,0,-
166,高雄,2019/02/22,02:02:00,"1,015.2",23.7,76,東北,1.4,0,-
167,高雄,2019/02/22,01:02:00,"1,015.3",24.7,75,南南東,1.1,0,-
168,高雄,2019/02/22,00:02:00,"1,016.9",20.8,76,北,2.7,0,-
169,高雄,2019/02/21,23:02:00,"1,016.5",25.1,72,南南東,1.4,0,-
170,高雄,2019/02/21,22:02:00,"1,016.9",25.6,71,南,1.3,0,-
171,高雄,2019/02/21,21:02:00,"1,016.8",25.4,72,南南東,1,0,-
172,高雄,2019/02/21,20:02:00,"1,015.8",25.7,70,南南東,2.5,0,-
173,高雄,2019/02/21,19:02:00,"1,015.8",26,67,南,1.3,0,0
174,高雄,2019/02/21,18:02:00,"1,015.9",26.4,65,南,2.7,0,0.2
175,高雄,2019/02/21,17:02:00,"1,015.8",27.4,64,南,3.3,0,0.6
176,高雄,2019/02/21,16:02:00,"1,015.9",27.7,64,南南西,3,0,0.7
177,高雄,2019/02/21,15:02:00,"1,015.9",27.8,65,南南西,3.8,0,0.6
178,高雄,2019/02/21,14:02:00,"1,016.4",27.5,66,南南西,4,0,0.1
179,高雄,2019/02/21,13:02:00,"1,017",28.6,63,南南西,3.8,0,0.9
180,高雄,2019/02/21,12:02:00,"1,017.6",28.7,60,南,5.1,0,1
181,高雄,2019/02/21,11:02:00,"1,018.3",28.4,63,南,4.3,0,1
182,高雄,2019/02/21,10:02:00,"1,018.7",28.1,63,南南東,3.5,0,1
183,高雄,2019/02/21,09:02:00,"1,019",26.8,72,南,2.7,0,1
184,高雄,2019/02/21,08:02:00,"1,018.8",24.2,78,北,0.4,0,0.6
185,高雄,2019/02/21,07:02:00,"1,018.5",23.3,82,東北,0.3,0,0
186,高雄,2019/02/21,06:02:00,"1,018.2",23.5,82,東北東,0.7,0,0
187,高雄,2019/02/21,05:02:00,"1,017.6",24,81,北,0.6,0,-
188,高雄,2019/02/21,04:02:00,"1,017.5",24.1,81,東北,0.3,0,-
189,高雄,2019/02/21,03:02:00,"1,017.6",24.2,81,東北東,1.1,0,-
190,高雄,2019/02/21,02:02:00,"1,018.3",24.8,78,北,1.5,0,-
191,高雄,2019/02/21,01:02:00,"1,019.1",25.1,75,北北西,1.1,0,-
192,高雄,2019/02/21,00:02:00,"1,016.1",25,72,南南東,1.4,0,-
193,高雄,2019/02/20,23:02:00,"1,019.8",25.6,73,南,0.5,0,-
194,高雄,2019/02/20,22:02:00,"1,019.5",25.5,77,南,1.5,0,-
195,高雄,2019/02/20,21:02:00,"1,019.4",25.9,74,南,1.2,0,-
196,高雄,2019/02/20,20:02:00,"1,019.1",26.1,73,南,1.9,0,-
197,高雄,2019/02/20,19:02:00,"1,018.6",25.9,77,南,2,0,0
198,高雄,2019/02/20,18:02:00,"1,018.3",26.3,74,南,3.4,0,0.6
199,高雄,2019/02/20,17:02:00,"1,018.1",27.5,69,南,3.6,0,1
200,高雄,2019/02/20,16:02:00,"1,017.9",28.3,70,南,4.1,0,1
201,高雄,2019/02/20,15:02:00,"1,017.9",28.3,72,南,4,0,1
202,高雄,2019/02/20,14:02:00,"1,018.2",28.4,69,南,4.2,0,1
203,高雄,2019/02/20,13:02:00,"1,019.1",29,65,南,4.2,0,1
204,高雄,2019/02/20,12:02:00,"1,020",28.4,67,南,2.9,0,1
205,高雄,2019/02/20,11:02:00,"1,020.9",28.1,70,南南西,2.1,0,1
206,高雄,2019/02/20,10:02:00,"1,021.2",27.8,71,西,1.8,0,1
207,高雄,2019/02/20,09:02:00,"1,021.1",27.3,69,北北東,1.1,0,1
208,高雄,2019/02/20,08:02:00,"1,020.4",24.5,75,東北,1.2,0,0.2
209,高雄,2019/02/20,07:02:00,"1,019.8",23.6,81,東北東,1.4,0,0
210,高雄,2019/02/20,06:02:00,"1,018.8",23.9,84,東北東,0.9,0,0
211,高雄,2019/02/20,05:02:00,"1,018.2",24.2,82,東北東,0.8,0,-
212,高雄,2019/02/20,04:02:00,"1,018.2",24.2,84,東北東,0.9,0,-
213,高雄,2019/02/20,03:02:00,"1,018.5",24.3,86,東,0.8,0,-
214,高雄,2019/02/20,02:02:00,"1,019",24.9,87,西北,0.4,0,-
215,高雄,2019/02/20,01:02:00,"1,019.3",24.9,85,靜風,0,0,-
216,高雄,2019/02/20,00:02:00,"1,019.6",25.4,74,南南西,0.8,0,-
217,高雄,2019/02/19,23:02:00,"1,019.8",25.5,82,南南西,0.7,0,-
218,高雄,2019/02/19,22:02:00,"1,020",25.6,81,西南西,0.9,0,-
219,高雄,2019/02/19,21:02:00,"1,019.7",25.7,82,西南西,0.8,0,-
220,高雄,2019/02/19,20:02:00,"1,019.2",25.8,81,南南西,1.3,0,-
221,高雄,2019/02/19,19:02:00,"1,018.2",26,81,南,1.2,0,0
222,高雄,2019/02/19,18:02:00,"1,017.5",26.2,78,南南西,2,0,0.6
223,高雄,2019/02/19,17:02:00,"1,016.9",26.9,75,南南西,2.8,0,1
224,高雄,2019/02/19,16:02:00,"1,016.4",27.9,72,南南西,3,0,1
225,高雄,2019/02/19,15:02:00,"1,016.5",28.5,70,西南,2.8,0,1
226,高雄,2019/02/19,14:02:00,"1,016.8",28.6,69,西南西,2.4,0,1
227,高雄,2019/02/19,13:02:00,"1,017.4",28.8,68,南南西,2.5,0,1
228,高雄,2019/02/19,12:02:00,"1,018.1",28.5,67,南南西,2.3,0,0.8
229,高雄,2019/02/19,11:02:00,"1,018.6",28.8,69,南,1.8,0,1
230,高雄,2019/02/19,10:02:00,"1,018.8",28.1,74,南,1.6,0,0.8
231,高雄,2019/02/19,09:02:00,"1,018.9",26.7,79,南,1.1,0,0.3
232,高雄,2019/02/19,08:02:00,"1,018.2",25.2,80,東北,0.5,0,0
233,高雄,2019/02/19,07:02:00,"1,017.7",23.5,85,東北,1.1,0,0
234,高雄,2019/02/19,06:02:00,"1,016.8",23.8,86,東北東,0.7,0,0
235,高雄,2019/02/19,05:02:00,"1,015.8",23.9,85,東,0.7,0,-
236,高雄,2019/02/19,04:02:00,"1,015.8",24.4,83,靜風,0.2,0,-
237,高雄,2019/02/19,03:02:00,"1,016.1",24.5,82,南,0.3,0,-
238,高雄,2019/02/19,02:02:00,"1,016.7",25.1,82,南,0.7,0,-
239,高雄,2019/02/19,01:02:00,"1,017",25.5,81,南,2.4,0,-
240,高雄,2019/02/19,00:02:00,"1,019.5",24.8,85,靜風,0,0,-
241,高雄,2019/02/18,23:02:00,"1,017.2",25.6,81,南南東,3.4,0,-
242,高雄,2019/02/18,22:02:00,"1,016.7",25.8,81,南南東,3.2,0,-
243,高雄,2019/02/18,21:02:00,"1,016.1",25.8,80,南南東,3.6,0,-
244,高雄,2019/02/18,20:02:00,"1,015.9",26,78,南南東,4.3,0,-
245,高雄,2019/02/18,19:02:00,"1,014.6",26.1,78,南南東,4.8,0,0
246,高雄,2019/02/18,18:02:00,"1,014.1",26.4,74,南南東,4.2,0,0.5
247,高雄,2019/02/18,17:02:00,"1,013.4",27.7,69,南南東,4.4,0,0.9
248,高雄,2019/02/18,16:02:00,"1,013.2",27.6,68,南,3.8,0,0.2
249,高雄,2019/02/18,15:02:00,"1,013.3",26,67,西南西,1.8,0,0.7
250,高雄,2019/02/18,14:02:00,"1,013.7",27.3,63,西南,1.8,0,1
251,高雄,2019/02/18,13:02:00,"1,014.7",26.5,64,西,2.3,0,1
252,高雄,2019/02/18,12:02:00,"1,015.6",26.9,62,西北西,2.9,0,1
253,高雄,2019/02/18,11:02:00,"1,016.1",26.4,63,西北西,2.9,0,1
254,高雄,2019/02/18,10:02:00,"1,016.7",25.9,62,西北,1.8,0,1
255,高雄,2019/02/18,09:02:00,"1,016.9",24.2,68,北北東,1.4,0,1
256,高雄,2019/02/18,08:02:00,"1,017",21.5,76,西北,1.1,0,0.2
257,高雄,2019/02/18,07:02:00,"1,016.5",20.6,76,北北西,1.3,0,0
258,高雄,2019/02/18,06:02:00,"1,015.3",20.5,74,北北東,1.7,0,0
259,高雄,2019/02/18,05:02:00,"1,015.3",20.7,72,北北東,2.4,0,-
260,高雄,2019/02/18,04:02:00,"1,015.3",20.8,72,北北東,2.5,0,-
261,高雄,2019/02/18,03:02:00,"1,016.2",20.8,73,北北東,2.6,0,-
262,高雄,2019/02/18,02:02:00,"1,016.9",21,73,北北東,2.1,0,-
263,高雄,2019/02/18,01:02:00,"1,017.4",21.1,72,北北東,2.5,0,-
264,高雄,2019/02/18,00:02:00,"1,017.3",25.6,83,南,2.3,0,-
265,高雄,2019/02/17,23:02:00,"1,017.7",21.2,75,北北東,2.2,0,-
266,高雄,2019/02/17,22:02:00,"1,017.4",21.5,74,北,2.9,0,-
267,高雄,2019/02/17,21:02:00,"1,017.6",21.7,74,北,4.5,0,-
268,高雄,2019/02/17,20:02:00,"1,017.6",21.8,74,北,4.2,0,-
269,高雄,2019/02/17,19:02:00,"1,017",22.1,75,北北西,4.6,0,0
270,高雄,2019/02/17,18:02:00,"1,016.6",22.7,73,北北西,5.2,0,0
271,高雄,2019/02/17,17:02:00,"1,016.1",23.9,71,西北,3.9,0,0.3
272,高雄,2019/02/17,16:02:00,"1,015.5",24.8,68,西北,4.8,0,0.9
273,高雄,2019/02/17,15:02:00,"1,015.3",26,64,西北,3.3,0,0.9
274,高雄,2019/02/17,14:02:00,"1,015.8",27.2,60,西北,3.3,0,1
275,高雄,2019/02/17,13:02:00,"1,017",26.1,63,西北,4.3,0,0.8
276,高雄,2019/02/17,12:02:00,"1,017.7",25.8,62,西北,5.4,0,1
277,高雄,2019/02/17,11:02:00,"1,018.3",26.3,63,西北西,3.2,0,1
278,高雄,2019/02/17,10:02:00,"1,018.6",25.9,62,北,1.7,0,1
279,高雄,2019/02/17,09:02:00,"1,018.8",23.8,68,北,2.3,0,0.9
280,高雄,2019/02/17,08:02:00,"1,018.2",21.2,72,北北東,3,0,0.4
281,高雄,2019/02/17,07:02:00,"1,017.9",20.7,73,北北東,3,0,0
282,高雄,2019/02/17,06:02:00,"1,017.2",19.9,76,北北東,2.8,0,0
283,高雄,2019/02/17,05:02:00,"1,016.7",20.7,74,北,4.4,0,-
284,高雄,2019/02/17,04:02:00,"1,016.7",21,76,北,3.9,0,-
285,高雄,2019/02/17,03:02:00,"1,016.7",20.9,77,北,3.5,0,-
286,高雄,2019/02/17,02:02:00,"1,016.8",21.2,75,北,3.4,0,-
287,高雄,2019/02/17,01:02:00,"1,017",21.5,74,北北東,2.3,0,-
288,高雄,2019/02/17,00:02:00,"1,017.4",21.2,73,北北東,2.6,0,-
289,高雄,2019/02/16,23:02:00,"1,017.4",22.7,75,北北西,2.3,0,-
290,高雄,2019/02/16,22:02:00,"1,017.1",22.8,73,北北東,1.1,0,-
291,高雄,2019/02/16,21:02:00,"1,017.1",22.9,73,北北東,1.8,0,-
292,高雄,2019/02/16,20:02:00,"1,017",23.2,71,北北東,2.3,0,-
293,高雄,2019/02/16,19:02:00,"1,016.7",24.1,70,北,3.3,0,0
294,高雄,2019/02/16,18:02:00,"1,016.2",24.6,71,北北西,3.3,0,0.3
295,高雄,2019/02/16,17:02:00,"1,015.9",25.6,67,北北西,2.3,0,0.8
296,高雄,2019/02/16,16:02:00,"1,015.6",26.9,64,北北西,3,0,1
297,高雄,2019/02/16,15:02:00,"1,015.9",27.7,61,西北西,3.5,0,1
298,高雄,2019/02/16,14:02:00,"1,016.2",27.6,59,西北西,3.2,0,1
299,高雄,2019/02/16,13:02:00,"1,016.9",27.9,59,西北西,2.7,0,0.9
300,高雄,2019/02/16,12:02:00,"1,018.2",27.4,61,西北西,3,0,0.8
301,高雄,2019/02/16,11:02:00,"1,019.2",26.5,63,西北,1.9,0,0.3
302,高雄,2019/02/16,10:02:00,"1,019.6",27.2,62,北,1.4,0,1
303,高雄,2019/02/16,09:02:00,"1,019.9",25.2,69,北北東,2.8,0,1
304,高雄,2019/02/16,08:02:00,"1,019.6",23,74,北北東,2.4,0,0.6
305,高雄,2019/02/16,07:02:00,"1,019.4",22.3,77,北,1.8,0,0
306,高雄,2019/02/16,06:02:00,"1,018.6",22.5,74,北北東,1.8,0,0
307,高雄,2019/02/16,05:02:00,"1,018",22.4,73,北北東,2.3,0,-
308,高雄,2019/02/16,04:02:00,"1,017.5",22,74,東北東,1.2,0,-
309,高雄,2019/02/16,03:02:00,"1,017.6",22.1,75,北北東,0.4,0,-
310,高雄,2019/02/16,02:02:00,"1,018.1",22.6,75,東北,0.9,0,-
311,高雄,2019/02/16,01:02:00,"1,018.5",22.8,80,東北,0.8,0,-
312,高雄,2019/02/16,00:02:00,"1,017.2",22.1,74,北,3.3,0,-
313,高雄,2019/02/15,23:02:00,"1,019.4",24.3,73,北北東,1.5,0,-
314,高雄,2019/02/15,22:02:00,"1,019.3",24.5,73,北北東,1.6,0,-
315,高雄,2019/02/15,21:02:00,"1,019.4",24.7,74,北,1.8,0,-
316,高雄,2019/02/15,20:02:00,"1,019.1",24.6,75,北,1.9,0,-
317,高雄,2019/02/15,19:02:00,"1,018.3",24.8,75,西北,1.3,0,0
318,高雄,2019/02/15,18:02:00,"1,017.6",24.9,74,西北,2.2,0,0.3
319,高雄,2019/02/15,17:02:00,"1,017.3",25.6,71,西北西,2.1,0,0.8
320,高雄,2019/02/15,16:02:00,"1,017.2",26.7,69,西,2.5,0,1
321,高雄,2019/02/15,15:02:00,"1,017.2",26.8,68,西,2.6,0,1
322,高雄,2019/02/15,14:02:00,"1,017.7",27.8,65,西,2.3,0,1
323,高雄,2019/02/15,13:02:00,"1,018.7",27.4,64,西,2.4,0,1
